final_temp,baseline,model,specification,scenario,vlow,low,midl,med,midh,high,vhigh
1.8472899183006,Contemp,IIS,standard,Hundred,0.29829428972190775,0.3467323803985694,0.525657450734899,0.6945460679067145,0.9508178854865365,1.3452257787960549,1.6167465578995628
1.84913753267965,Contemp,IIS,standard,Hundred,0.29804070122203985,0.3464666818681693,0.5253787844933842,0.6942964769331091,0.9507495059197436,1.3456075602666353,1.617420772569812
1.85800158496729,Contemp,IIS,standard,Hundred,0.2968258714469943,0.34519368954421104,0.5240431217203394,0.6930996520324781,0.9504206943616338,1.3474387278134705,1.620657414610858
1.85900071895423,Contemp,IIS,standard,Hundred,0.2966891233683949,0.34505037889775814,0.5238926995850655,0.6929648116198621,0.9503835530676468,1.3476450853226667,1.6210224539035818
1.85990334967331,Contemp,IIS,standard,Hundred,0.29656561550641186,0.34492094117127553,0.5237568289844154,0.6928430059520281,0.9503499854676981,1.3478315031830934,1.62135227228572
1.86171648692819,Contemp,IIS,standard,Hundred,0.2963176143256565,0.34466102520845354,0.5234839674439152,0.6925983631528199,0.950282518167562,1.3482059419132288,1.6220148932928626
1.86463863192046,Contemp,IIS,standard,Hundred,0.295918181993359,0.3442423810934713,0.5230443929724502,0.6922041723393769,0.9501736742234119,1.3488093403639407,1.623083106414191
1.87386691238947,Contemp,IIS,standard,Hundred,0.29465885414929727,0.3429223060433361,0.5216576791271565,0.6909600116308898,0.9498290467364884,1.3507143664084709,1.6264590009238638
1.87388522875826,Contemp,IIS,standard,Hundred,0.2946563577959934,0.3429196890045282,0.521654929007943,0.6909575432881837,0.9498283613683345,1.3507181467097988,1.6264657050889002
1.87719851307179,Contemp,IIS,standard,Hundred,0.2942049941787057,0.34244648692074275,0.5211576006159284,0.6905111101323069,0.9497042958644105,1.3514019201024499,1.6276786734347595
1.87767205882343,Contemp,IIS,standard,Hundred,0.29414051734747537,0.34237888765595736,0.5210865445069199,0.6904473158156506,0.9496865497255711,1.3514996387176943,1.6278520737202848
1.88465944444429,Contemp,IIS,standard,Hundred,0.293190108150196,0.34138237044223935,0.5200387690471602,0.6895063331030397,0.9494242821544114,1.3529412724285554,1.6304118017381963
1.88720996732039,Contemp,IIS,standard,Hundred,0.29284364699904836,0.34101906266072485,0.5196566339870018,0.6891630121242283,0.9493283560106283,1.3534673785580613,1.631346674910067
1.91407774509805,Contemp,IIS,standard,Hundred,0.28920874751859194,0.3372061652760192,0.5156416015588093,0.685551422892277,0.9483115547339505,1.359005715970639,1.6412119241190677
1.93705259803911,Contemp,IIS,standard,Hundred,0.286121957314102,0.33396639725915,0.5122234746447882,0.6824704122331041,0.9474329613406407,1.3637361134089978,1.6496725325754553
1.93846736928113,Contemp,IIS,standard,Hundred,0.28593252157981863,0.33376751807231786,0.512013446194816,0.6822809059233388,0.9473785835690536,1.3640272420135395,1.6501942753235086
1.93998625817003,Contemp,IIS,standard,Hundred,0.28572922808296164,0.3335540831506635,0.5117880200526027,0.6820774815842315,0.9473201684776931,1.364339774403552,1.6507545111526294
1.94036063725474,Contemp,IIS,standard,Hundred,0.2856791331250061,0.3335014880351093,0.511732465903032,0.6820273456155537,0.9473057645530375,1.3644168046850207,1.6508926146382294
1.96658249999991,Contemp,IIS,standard,Hundred,0.2821834935271337,0.32983026588001535,0.5078506335654278,0.6785202140131052,0.9462913468460991,1.3698087408747543,1.6605805884174247
1.97715220588239,Contemp,IIS,standard,Hundred,0.28078172618827624,0.3283574617895455,0.5062910634428308,0.6771090080642239,0.9458793511683138,1.371980302339905,1.6644940962645427
